time,Direction,Lead_hours,Source_time,Speed
2023-09-17 21:00:00+00:00,SE,1,1694973600,9.83488
2023-09-18 00:00:00+00:00,SE,1,1694984400,8.9408
2023-09-18 03:00:00+00:00,SSE,1,1694995200,9.83488
2023-09-18 06:00:00+00:00,SE,1,1695006000,8.9408
2023-09-18 09:00:00+00:00,SE,1,1695016800,7.15264
2023-09-18 12:00:00+00:00,SE,1,1695027600,7.15264
2023-09-18 15:00:00+00:00,NW,1,1695038400,1.78816
2023-09-18 18:00:00+00:00,WNW,1,1695049200,16.09344
2023-09-18 21:00:00+00:00,WNW,1,1695060000,12.96416
2023-09-19 00:00:00+00:00,SW,1,1695070800,11.176
2023-09-19 03:00:00+00:00,WSW,1,1695081600,9.83488
2023-09-19 06:00:00+00:00,SSW,1,1695092400,7.15264
2023-09-19 09:00:00+00:00,SSW,1,1695103200,8.9408
2023-09-19 12:00:00+00:00,SSW,1,1695114000,9.83488
2023-09-19 15:00:00+00:00,S,1,1695124800,7.15264
2023-09-19 18:00:00+00:00,SSW,1,1695135600,8.04672
2023-09-19 21:00:00+00:00,S,1,1695146400,5.81152
2023-09-20 00:00:00+00:00,S,1,1695157200,8.04672
2023-09-20 03:00:00+00:00,E,1,1695168000,7.15264
2023-09-20 09:00:00+00:00,E,1,1695189600,11.176
2023-09-20 12:00:00+00:00,SE,1,1695200400,3.12928
2023-09-20 15:00:00+00:00,ESE,1,1695211200,7.15264
2023-09-20 21:00:00+00:00,S,1,1695232800,12.96416
2023-09-21 00:00:00+00:00,SSW,1,1695243600,15.19936
2023-09-21 03:00:00+00:00,SSW,1,1695254400,12.070079999999999
2023-09-21 06:00:00+00:00,S,1,1695265200,12.070079999999999
2023-09-21 09:00:00+00:00,S,1,1695276000,11.176
2023-09-21 12:00:00+00:00,S,1,1695286800,8.9408
2023-09-21 15:00:00+00:00,WSW,1,1695297600,8.04672
2023-09-21 21:00:00+00:00,SW,1,1695319200,12.070079999999999
2023-09-22 00:00:00+00:00,WSW,1,1695330000,9.83488
2023-09-22 03:00:00+00:00,W,1,1695340800,8.9408
2023-09-22 09:00:00+00:00,NW,1,1695362400,11.176
2023-09-22 12:00:00+00:00,NW,1,1695373200,12.070079999999999
2023-09-22 15:00:00+00:00,NW,1,1695384000,13.85824
2023-09-22 18:00:00+00:00,NW,1,1695394800,12.96416
2023-09-23 00:00:00+00:00,NW,1,1695416400,13.85824
2023-09-23 03:00:00+00:00,NW,1,1695427200,8.9408
2023-09-23 06:00:00+00:00,NW,1,1695438000,7.15264
2023-09-23 09:00:00+00:00,NNW,1,1695448800,7.15264
2023-09-23 12:00:00+00:00,NW,1,1695459600,4.91744
2023-09-23 15:00:00+00:00,WNW,1,1695470400,4.91744
2023-09-23 18:00:00+00:00,S,1,1695481200,0.89408
2023-09-23 21:00:00+00:00,SE,1,1695492000,5.81152
2023-09-24 00:00:00+00:00,SSE,1,1695502800,9.83488
2023-09-24 03:00:00+00:00,SE,1,1695513600,12.070079999999999
2023-09-24 06:00:00+00:00,SSE,1,1695524400,11.176
2023-09-24 09:00:00+00:00,S,1,1695535200,5.81152
2023-09-24 12:00:00+00:00,S,1,1695546000,7.15264
2023-09-24 15:00:00+00:00,SSE,1,1695556800,8.9408
2023-09-24 18:00:00+00:00,SSE,1,1695567600,11.176
2023-09-24 21:00:00+00:00,SSE,1,1695578400,15.19936
2023-09-25 00:00:00+00:00,S,1,1695589200,16.09344
2023-09-25 03:00:00+00:00,SSW,1,1695600000,12.96416
2023-09-25 06:00:00+00:00,SSW,1,1695610800,12.070079999999999
2023-09-25 09:00:00+00:00,SSW,1,1695621600,12.070079999999999
2023-09-25 12:00:00+00:00,SSW,1,1695632400,11.176
2023-09-25 15:00:00+00:00,SW,1,1695643200,11.176
2023-09-25 18:00:00+00:00,SSW,1,1695654000,8.04672
2023-09-25 21:00:00+00:00,S,1,1695664800,8.9408
2023-09-26 00:00:00+00:00,S,1,1695675600,11.176
2023-09-26 03:00:00+00:00,S,1,1695686400,11.176
2023-09-26 09:00:00+00:00,SSE,1,1695708000,11.176
2023-09-26 12:00:00+00:00,SSE,1,1695718800,12.96416
2023-09-26 15:00:00+00:00,S,1,1695729600,11.176
2023-09-26 21:00:00+00:00,SW,1,1695751200,7.15264
2023-09-27 00:00:00+00:00,WSW,1,1695762000,9.83488
2023-09-27 03:00:00+00:00,SW,1,1695772800,8.9408
2023-09-27 06:00:00+00:00,S,1,1695783600,7.15264
2023-09-27 09:00:00+00:00,SSW,1,1695794400,7.15264
2023-09-27 12:00:00+00:00,SSE,1,1695805200,5.81152
2023-09-27 15:00:00+00:00,SE,1,1695816000,8.04672
2023-09-27 18:00:00+00:00,SE,1,1695826800,9.83488
2023-09-27 21:00:00+00:00,ESE,1,1695837600,12.96416
2023-09-28 00:00:00+00:00,ESE,1,1695848400,15.19936
2023-09-28 03:00:00+00:00,SE,1,1695859200,9.83488
2023-09-28 06:00:00+00:00,S,1,1695870000,4.91744
2023-09-28 09:00:00+00:00,WSW,1,1695880800,12.070079999999999
2023-09-28 12:00:00+00:00,WSW,1,1695891600,13.85824
2023-09-28 15:00:00+00:00,SW,1,1695902400,8.9408
2023-09-29 00:00:00+00:00,S,1,1695934800,8.9408
2023-09-29 03:00:00+00:00,S,1,1695945600,8.9408
2023-09-29 06:00:00+00:00,S,1,1695956400,11.176
2023-09-29 09:00:00+00:00,SSW,1,1695967200,12.96416
2023-09-29 12:00:00+00:00,WSW,1,1695978000,12.070079999999999
2023-09-29 15:00:00+00:00,W,1,1695988800,13.85824
2023-09-29 18:00:00+00:00,W,1,1695999600,16.98752
2023-09-29 21:00:00+00:00,W,1,1696010400,19.22272
2023-09-30 00:00:00+00:00,WNW,1,1696021200,15.19936
2023-09-30 06:00:00+00:00,W,1,1696042800,9.83488
2023-09-30 09:00:00+00:00,WNW,1,1696053600,8.9408
2023-09-30 15:00:00+00:00,WSW,1,1696075200,0.89408
2023-09-30 21:00:00+00:00,SE,1,1696096800,7.15264
2023-10-01 00:00:00+00:00,SE,1,1696107600,9.83488
2023-10-01 03:00:00+00:00,SE,1,1696118400,12.070079999999999
2023-10-01 09:00:00+00:00,S,1,1696140000,7.15264
2023-10-01 12:00:00+00:00,SW,1,1696150800,8.9408
2023-10-01 15:00:00+00:00,WSW,1,1696161600,11.176
2023-10-01 18:00:00+00:00,SW,1,1696172400,11.176
2023-10-01 21:00:00+00:00,SSW,1,1696183200,7.15264
2023-10-02 00:00:00+00:00,SSW,1,1696194000,7.15264
2023-10-02 03:00:00+00:00,SSW,1,1696204800,8.04672
2023-10-02 06:00:00+00:00,SSW,1,1696215600,9.83488
2023-10-02 09:00:00+00:00,SSW,1,1696226400,8.9408
2023-10-02 12:00:00+00:00,SSW,1,1696237200,11.176
2023-10-02 15:00:00+00:00,SW,1,1696248000,8.9408
2023-10-02 18:00:00+00:00,SW,1,1696258800,8.04672
2023-10-05 06:00:00+00:00,W,1,1696474800,4.91744
2023-10-05 09:00:00+00:00,SW,1,1696485600,7.15264
2023-10-05 12:00:00+00:00,S,1,1696496400,4.02336
2023-10-05 15:00:00+00:00,SE,1,1696507200,5.81152
2023-10-05 18:00:00+00:00,ESE,1,1696518000,12.070079999999999
2023-10-05 21:00:00+00:00,SSE,1,1696528800,8.9408
2023-10-06 00:00:00+00:00,SSW,1,1696539600,9.83488
2023-10-06 03:00:00+00:00,SW,1,1696550400,12.070079999999999
2023-10-06 06:00:00+00:00,WSW,1,1696561200,17.8816
2023-10-06 09:00:00+00:00,W,1,1696572000,17.8816
2023-10-06 12:00:00+00:00,NNE,1,1696582800,16.09344
2023-10-06 15:00:00+00:00,N,1,1696593600,12.96416
2023-10-06 18:00:00+00:00,NNE,1,1696604400,12.070079999999999
2023-10-06 21:00:00+00:00,NNE,1,1696615200,8.9408
2023-10-07 00:00:00+00:00,NNE,1,1696626000,7.15264
2023-10-07 03:00:00+00:00,NE,1,1696636800,8.04672
2023-10-07 06:00:00+00:00,NE,1,1696647600,8.04672
2023-10-07 09:00:00+00:00,ENE,1,1696658400,5.81152
2023-10-07 12:00:00+00:00,NE,1,1696669200,8.9408
2023-10-07 15:00:00+00:00,NE,1,1696680000,7.15264
2023-10-07 18:00:00+00:00,ENE,1,1696690800,7.15264
2023-10-07 21:00:00+00:00,E,1,1696701600,8.04672
2023-10-08 00:00:00+00:00,E,1,1696712400,5.81152
2023-10-08 03:00:00+00:00,E,1,1696723200,7.15264
2023-10-08 06:00:00+00:00,SE,1,1696734000,8.04672
2023-10-08 09:00:00+00:00,SE,1,1696744800,9.83488
2023-10-08 12:00:00+00:00,SE,1,1696755600,12.070079999999999
2023-10-08 15:00:00+00:00,SE,1,1696766400,12.070079999999999
2023-10-08 18:00:00+00:00,SE,1,1696777200,8.9408
2023-10-08 21:00:00+00:00,ESE,1,1696788000,9.83488
2023-10-09 00:00:00+00:00,ESE,1,1696798800,8.04672
2023-10-09 03:00:00+00:00,E,1,1696809600,4.02336
2023-10-09 06:00:00+00:00,E,1,1696820400,3.12928
2023-10-09 09:00:00+00:00,SE,1,1696831200,1.78816
2023-10-09 12:00:00+00:00,SW,1,1696842000,3.12928
2023-10-09 15:00:00+00:00,WNW,1,1696852800,4.02336
2023-10-09 21:00:00+00:00,SSW,1,1696874400,4.91744
2023-10-10 00:00:00+00:00,S,1,1696885200,8.9408
2023-10-10 03:00:00+00:00,SSW,1,1696896000,8.9408
2023-10-10 06:00:00+00:00,SW,1,1696906800,9.83488
2023-10-10 09:00:00+00:00,SW,1,1696917600,11.176
2023-10-10 12:00:00+00:00,SW,1,1696928400,12.96416
2023-10-10 15:00:00+00:00,WSW,1,1696939200,12.070079999999999
2023-10-10 18:00:00+00:00,W,1,1696950000,16.09344
2023-10-10 21:00:00+00:00,W,1,1696960800,16.98752
2023-10-11 00:00:00+00:00,W,1,1696971600,17.8816
2023-10-11 03:00:00+00:00,W,1,1696982400,15.19936
2023-10-11 06:00:00+00:00,W,1,1696993200,16.98752
2023-10-11 09:00:00+00:00,W,1,1697004000,17.8816
2023-10-11 12:00:00+00:00,W,1,1697014800,21.90496
2023-10-11 15:00:00+00:00,WNW,1,1697025600,19.22272
2023-10-11 18:00:00+00:00,NW,1,1697036400,16.09344
2023-10-11 21:00:00+00:00,NW,1,1697047200,15.19936
2023-10-12 00:00:00+00:00,NW,1,1697058000,12.070079999999999
2023-10-12 03:00:00+00:00,NW,1,1697068800,8.9408
2023-10-12 06:00:00+00:00,WNW,1,1697079600,4.91744
2023-10-12 09:00:00+00:00,S,1,1697090400,7.15264
2023-10-12 12:00:00+00:00,SSW,1,1697101200,11.176
2023-10-12 15:00:00+00:00,SW,1,1697112000,11.176
2023-10-12 18:00:00+00:00,SSW,1,1697122800,8.9408
2023-10-12 21:00:00+00:00,SSW,1,1697133600,12.070079999999999
2023-10-13 00:00:00+00:00,W,1,1697144400,12.070079999999999
2023-10-13 03:00:00+00:00,SW,1,1697155200,11.176
